"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,823.4463298417404,10339.816035092374,77.31140053174246,291.96236094445715,52.140433357284884,5.134392881823294,8.308280115482892
2.0,1.0,957.4615028397292,35469.7953932393,141.4285268422598,572.8280133838429,52.70965419525338,5.364583098637251,12.269531825062336
3.0,1.0,1427.9572957930015,45426.207447097186,86.16467739559715,346.4479390297185,55.149448765538644,5.927612733456365,9.050391761128752
4.0,1.0,1879.2579413628582,49880.33833146805,95.41312160381517,353.7642951960697,48.88344798736284,3.5132529852266545,8.515642557806874
5.0,1.0,2381.1611239034737,22310.425971147455,111.60731288473983,490.6008501148081,28.980876401619682,4.5039453915499,9.063425516516375
6.0,1.0,2360.8949174407676,39826.43118736386,100.52348705766327,399.67585567237506,53.73385808756523,4.982314305621477,9.415597682336879
7.0,1.0,2713.3018557041687,22669.670116559133,101.62068326260267,624.2231482478834,28.63606362054046,6.7261273566009745,7.9044947050013
8.0,1.0,3644.3653142620387,21460.659984062135,98.38477478212947,1360.105160293474,27.607186051010352,6.5178055083735895,4.445910478188883
9.0,1.0,3960.451349008028,45039.493056164545,122.93768837159146,725.6211310878044,54.71525913886805,6.6747062936112975,9.300470908342971
10.0,1.0,4092.6314534401904,7019.50276450603,123.19777406804211,531.6624083759929,55.99230092966628,6.905738909545843,12.10109893478693
11.0,1.0,4169.892361094903,9677.42492231307,151.42571714209976,1615.4153444952565,20.946326201068185,6.049140478857626,6.751299509335794
12.0,1.0,4033.371324611028,9490.45716960643,136.07277701338893,844.8396873303827,20.946326201068185,6.049140478857626,9.19486066990716
13.0,1.0,4162.288663454348,11464.644797846504,205.39201992229394,2162.048962828943,18.237330304015988,7.3359852458821875,9.253727954064775
14.0,1.0,4055.6231802749558,11260.893971224215,83.6552171631657,671.0398044488157,18.237330304015988,7.3359852458821875,5.952681242562584
15.0,1.0,4426.437563484149,8837.756374788982,147.6751796450049,1804.8471481829288,47.39422379970622,13.644056594564836,9.270210994336574
16.0,1.0,4795.5033300573905,14194.79203607165,273.1389575728278,1659.9854084950298,28.503277168542372,6.412995157724075,16.663412387233873
17.0,1.0,4485.617487361103,15028.920472375206,115.06263381174752,495.6180526142254,17.84856624511035,6.4688754545225455,11.072509638930716
18.0,1.0,4467.2593540045955,15904.773431843563,96.48603393948827,911.7220388319761,18.074094189902073,7.916922729453629,6.014120583915145
19.0,1.0,4771.393842087988,16188.710496770442,111.0116954656897,971.4381395154556,18.074094189902073,7.916922729453629,7.004436385358181
20.0,1.0,4577.9406651019435,14420.91069061408,147.05523285368344,1272.5550523119473,74.59994013367536,12.467011492827746,11.656611820912985
21.0,1.0,4581.459455027428,10101.154844685907,119.08537034425373,410.47070273905985,40.030240978354335,11.439348091665504,20.576569766662725
22.0,1.0,4774.299722510447,10331.712512343827,123.28893428631746,668.3863853435074,40.030240978354335,11.439348091665504,14.121036386134218
23.0,1.0,4791.161024009424,16181.88138754907,126.40291694665517,1007.003248854437,37.587586471614,9.51370546772162,9.165720116113052
24.0,1.0,4948.07928246248,12915.737234498634,150.63059142916916,1510.1899952725626,37.15279906258534,9.87556181935727,8.959931356939206
25.0,1.0,4963.637752895048,12687.364012094418,81.40076174795057,370.3647997911661,37.15279906258534,9.87556181935727,10.423276818825903
26.0,1.0,5166.97223984384,8567.971231443496,121.12841346731106,1040.3780154551453,92.27178963868705,9.920741698531366,8.556584021259924
27.0,1.0,5258.886398914849,5512.337097156366,105.77495479508856,488.7544005249772,61.785881234016394,7.554608473959995,10.727928577405184
28.0,1.0,5245.6825406970665,10746.817573545339,127.65224876235163,1708.624977708175,47.67281589627928,11.490461890332506,6.832478685908183
29.0,1.0,4965.402534682489,10872.398891207336,86.55908298217268,645.2497671909576,47.67281589627928,11.490461890332506,8.048950785757738
30.0,1.0,5508.105433791697,11349.434944290118,208.05128058415164,1361.3690135166946,22.93356924761258,5.282712742333899,11.307460977156834
