"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,1717.3489783544464,46278.607809221205,93.89906390959347,395.0470355110443,54.51100989591507,4.723385720121185,8.487510402146317
2.0,1.0,1907.0057977593299,32743.627222339535,89.91843352141768,400.70809206091036,59.34281178080402,6.7204037708397975,9.171496722629296
3.0,1.0,2089.405981219427,36571.557246510194,102.27409505275264,969.5656970180856,63.66452353954915,7.910508485738842,6.240965384240955
4.0,1.0,4002.822184269918,32414.545044569513,96.30686770970074,456.1711873952592,59.13194985075039,4.843775622014523,8.0350424510904
5.0,1.0,3991.304471704523,33451.84785633841,89.41840806867171,415.1811909917865,58.68510790738835,5.394653546470556,8.067263667579825
6.0,1.0,4101.631530576745,6122.323065139076,111.47644167810378,584.7615252839836,51.17072773571654,5.480437845189239,8.640803723930754
7.0,1.0,4371.167287193546,20036.52473829099,110.0217557960927,556.418770127994,58.00276401384563,5.619358595002054,8.88040604945318
8.0,1.0,4555.428006783227,35531.35455162115,106.84139030287585,414.7060065292714,58.839224818932124,4.546025445325211,9.621974293497349
9.0,1.0,5908.154721174582,8842.567704274357,109.82885658082458,527.2236597721144,52.031874947457794,6.074396719753427,9.542078935498196
10.0,1.0,5900.949694303799,40049.89739612671,88.01778294344085,421.56256790383867,58.477608876365686,6.592596078133895,8.487639591454338
11.0,1.0,5817.119168643253,44506.22054529291,89.56239943384149,437.1801504910094,60.74465466566649,6.330008721330852,8.320087099959055
12.0,1.0,7131.4533590009105,20193.49140406973,105.32858976214116,603.4756086008961,63.67042907454747,6.93341538395653,8.655828786840045
13.0,1.0,7408.377184397652,32531.26847681112,105.70333311664272,537.4093974844232,62.586789305368804,5.368096140499755,8.448928178817479
14.0,1.0,7417.586537337589,34671.712890308416,95.18922195623566,667.1986585379577,63.51708838606115,6.926308820586626,6.9638737505508
15.0,1.0,8087.569233771845,28364.505156483043,111.75784754267147,370.77344857569636,62.176148451607006,5.772081785133085,12.453286377041833
16.0,1.0,8358.738149140114,4754.298982838175,201.49373317658535,1297.802449453703,43.946834649983614,8.726790814780026,15.207236680303145
17.0,1.0,9042.686861491491,28303.29369797292,104.33749583785148,630.0617342463144,66.79044949666233,6.188965703635774,7.861486668859901
18.0,1.0,9293.277517393177,18717.757831275096,99.1256895544475,444.48205715548187,60.10278599151369,4.514988270525753,8.291915713518344
19.0,1.0,9227.42936680097,49894.224172018,92.82583252874562,449.84521230827323,52.457100631486625,4.727496238314098,7.671768512822316
20.0,1.0,9620.318868283066,23232.964392613743,110.41988509022862,1219.8689801393193,64.71718859124175,10.191826379131884,6.643715465487835
21.0,1.0,9760.387129346462,6501.731006900964,86.6769704007953,904.7456909165048,26.125029691312832,5.438378967587778,4.7149993528743614
22.0,1.0,10046.30083203005,6503.219706524133,210.93690648800825,888.2441281294174,26.125029691312832,5.438378967587778,16.38575418734666
23.0,1.0,9795.770729633969,36215.7401015297,118.73528060921294,598.1958151893481,60.0376853714151,5.644949394936217,9.41163144799341
24.0,1.0,9855.869339834959,9158.304567547868,125.9052663981885,487.0412175033206,57.07638431405631,6.897754468689542,13.438821591957641
25.0,1.0,10303.222082761476,33469.04377952069,123.78478133160472,644.8059212746944,64.21091168999483,5.952651514407965,9.69867272063889
26.0,1.0,10587.051104039681,24596.47942503956,131.4587579362979,588.6546552674574,59.07082734547471,8.157638392066355,13.767993609953702
27.0,1.0,11077.31437863881,31812.351819621497,148.5068393217396,694.1994548439112,58.43798966463746,5.919041540264761,12.023833254435528
28.0,1.0,11102.56561046501,34684.443875166515,95.67539374098692,512.7853246201486,68.84248811780084,6.842806930362509,8.434639585378509
29.0,1.0,11172.441562964133,45644.99003093596,105.71368461008183,629.9282755992081,59.439801155318094,6.536865100775138,8.201658605369598
30.0,1.0,11290.748993374882,30584.756050318116,95.1096023143484,510.0962400438232,64.92460687576141,6.1015184077927485,7.979687165109539
31.0,1.0,11331.98412302882,15306.955302574499,94.38824551015708,1430.0087005781652,29.5838376203431,5.048159045200317,3.9165575587345534
32.0,1.0,11591.671720472677,15299.182142228134,226.3503796510634,1259.1146835355207,29.5838376203431,5.048159045200317,13.31232675408171
33.0,1.0,11444.5471369468,17548.852368591008,97.91511237851417,897.716903471965,31.253616843945114,5.1223419885203745,5.398093301097882
34.0,1.0,11712.02993148794,17441.041617257288,160.25839755966564,597.5047234883107,31.253616843945114,5.1223419885203745,14.027796120828302
35.0,1.0,12710.996500223087,21440.24938760084,100.0102482836989,1147.2755148037663,77.57369379793104,9.597462590575907,5.83307201526501
36.0,1.0,12854.193066270445,4205.8686462043115,104.12721142412724,389.0183650821153,52.46459674627457,6.515768525008144,11.509162959135885
37.0,1.0,13188.483102894279,26030.816756772365,127.12501496662956,1424.5344466428144,69.99377165225432,9.888847536056076,7.190719883160211
38.0,1.0,13212.238454642735,17854.598158939967,126.69089405160278,469.62961536307307,69.25528841618566,8.081774902735928,15.565365127849159
39.0,1.0,13292.35693915685,24827.14830331261,104.4070660616551,421.9440127712726,67.40131445334112,6.833273327687583,11.140518552764817
40.0,1.0,13485.433320994789,36709.81751768098,89.1034503417345,294.1688135774121,62.884348589728134,5.501446023102963,10.335646670113508
